time,mass,unit,stable?,570 psi,8 gph reject
0.693283081,0,g,1,,
1.704616785,0,g,1,,
2.725525856,0,g,1,,
3.703542471,0,g,1,,
4.726988077,0,g,1,,
5.719232798,0,g,1,,
6.720255852,0,g,1,,
7.718134642,0,g,1,,
8.71767211,0,g,1,,
9.717091799,0,g,1,,
10.71675801,0,g,1,,
11.7160852,0,g,1,,
12.73163843,0,g,1,,
13.7195065,0,g,1,,
14.73128176,0,g,1,,
15.71518326,0,g,1,,
16.73026085,0.6,g,0,,
17.71293902,1.1,g,1,,
18.73007917,1.2,g,1,,
19.72747064,1.5,g,1,,
20.73140955,1.9,g,1,,
21.71580887,2.3,g,0,,
22.72810864,2.8,g,0,,
23.72951436,3.4,g,0,,
24.72692132,4.1,g,0,,
25.72669101,5,g,0,,
26.72419095,5.8,g,0,,
27.73257279,6.6,g,0,,
28.7262466,7.7,g,0,,
29.72610068,8.7,g,0,,
30.74080682,10,g,0,,
31.72229838,11.1,g,0,,
32.73926687,12.4,g,0,,
33.73697853,13.9,g,0,,
34.7389431,15.4,g,0,,
35.737113,16.9,g,0,,
36.73669314,18.4,g,0,,
37.73737264,20.1,g,0,,
38.7188282,21.7,g,0,,
39.73992419,23.4,g,0,,
40.71890187,25.2,g,0,,
41.73791671,27.1,g,0,,
42.7209146,28.9,g,0,,
43.73363328,30.7,g,0,,
44.73534465,32.4,g,0,,
45.73195291,34.1,g,0,,
46.73419595,35.8,g,0,,
47.73255777,37.5,g,0,,
48.73180556,39.1,g,0,,
49.74628949,40.8,g,0,,
50.72886491,42.5,g,0,,
51.74654102,44.1,g,0,,
52.729357,45.7,g,0,,
53.74674964,47.4,g,0,,
54.72791028,49,g,0,,
55.7444973,50.6,g,0,,
56.74259114,52.3,g,0,,
57.74416304,53.9,g,0,,
58.74371958,55.6,g,0,,
59.74078178,57.2,g,0,,
60.74500632,58.9,g,0,,
61.74095392,60.6,g,0,,
62.74044347,62.4,g,0,,
63.75477862,64,g,0,,
64.7398138,65.6,g,0,,
65.74295259,67.2,g,0,,
66.74587703,68.8,g,0,,
67.74553227,70.5,g,0,,
68.74973345,72.2,g,0,,
69.75752425,73.8,g,0,,
70.75108695,75.4,g,0,,
71.75855255,77.1,g,0,,
72.73818922,78.6,g,0,,
73.75544405,80.3,g,0,,
74.74998999,81.9,g,0,,
75.74921656,83.4,g,0,,
76.74973154,85,g,0,,
77.74911785,86.7,g,0,,
78.74883795,88.2,g,0,,
79.76375484,89.8,g,0,,
80.74685979,91.4,g,0,,
81.76437926,93,g,0,,
82.75440073,94.6,g,0,,
83.76272845,96.1,g,0,,
84.74466586,97.7,g,0,,
