time,mass,unit,stable?,Pressure 300 psi
0.24756074,0,g,1,
1.257305622,0,g,1,
2.244025469,0,g,1,
3.256267786,0,g,1,
4.251359224,0.4,g,1,
5.259861708,0.7,g,0,
6.244679451,1,g,1,
7.247328043,1,g,1,
8.247533083,1.1,g,1,
9.252968788,1.1,g,1,
10.24554777,1.7,g,1,
11.24654293,2,g,0,
12.2467382,2.6,g,0,
13.23668718,2.9,g,0,
14.2422111,3.7,g,0,
15.24222589,4.4,g,0,
16.25891757,5.2,g,0,
17.23847628,6.3,g,0,
18.25068521,7.1,g,0,
19.24009871,8,g,0,
20.26120281,9.1,g,0,
21.23929501,10,g,0,
22.2573719,11,g,0,
23.24773788,12,g,0,
24.25296926,13,g,0,
25.25134349,13.9,g,0,
26.25381994,14.8,g,0,
27.24324965,15.8,g,0,
28.26522708,16.7,g,0,
29.25510812,17.6,g,0,
30.26050472,18.6,g,0,
31.26009655,19.5,g,0,
32.25701165,20.3,g,0,
33.25048113,21.4,g,0,
34.26093435,22.4,g,0,
35.25064516,23.2,g,0,
36.25952315,24.1,g,0,
37.26211572,25.1,g,0,
38.26699424,26,g,0,
39.26591468,26.8,g,0,
40.27291632,27.8,g,0,
41.2639451,28.6,g,0,
42.27200937,29.5,g,0,
43.26186013,30.5,g,0,
44.26710153,31.3,g,0,
45.25684214,32.1,g,0,
46.27801466,33.1,g,0,
47.25780272,34,g,0,
48.26330137,34.8,g,0,
49.25807142,35.8,g,0,
50.26327205,36.6,g,0,
51.26777959,37.4,g,0,
52.28210258,38.4,g,0,
53.26433611,39.2,g,0,
54.25392723,40,g,0,
55.27217817,41,g,0,
56.25922012,41.8,g,0,
57.26438737,42.7,g,0,
58.26531172,43.7,g,0,
59.27046895,44.6,g,0,
60.25997329,45.5,g,0,
61.27967763,46.3,g,0,
62.25827789,47.3,g,0,
63.26910806,48,g,0,
64.26119208,48.9,g,0,
65.28221035,49.8,g,0,
66.27083302,50.6,g,0,
67.2748673,51.5,g,0,
68.2649672,52.4,g,0,
69.27582383,53.1,g,0,
70.26301408,54,g,0,
71.28112721,54.9,g,0,
72.27728176,55.8,g,0,
73.28269315,56.6,g,0,
74.2724216,57.4,g,0,
75.27776265,58.2,g,0,
76.2813561,59.2,g,0,
77.28792715,60,g,0,
78.27844501,60.8,g,0,
79.28898025,61.8,g,0,
